Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,13.590000,13.590000,13.590000,13.590000,9.782362,0
2019-01-03,13.370000,13.370000,13.370000,13.370000,9.624000,0
2019-01-04,13.780000,13.780000,13.780000,13.780000,9.919126,0
2019-01-07,13.840000,13.840000,13.840000,13.840000,9.962316,0
2019-01-08,13.940000,13.940000,13.940000,13.940000,10.034297,0
2019-01-09,14.000000,14.000000,14.000000,14.000000,10.077488,0
2019-01-10,14.050000,14.050000,14.050000,14.050000,10.113480,0
2019-01-11,14.030000,14.030000,14.030000,14.030000,10.099081,0
2019-01-14,14.010000,14.010000,14.010000,14.010000,10.084683,0
2019-01-15,14.090000,14.090000,14.090000,14.090000,10.142269,0
2019-01-16,14.160000,14.160000,14.160000,14.160000,10.192659,0
2019-01-17,14.240000,14.240000,14.240000,14.240000,10.250243,0
2019-01-18,14.430000,14.430000,14.430000,14.430000,10.387011,0
2019-01-22,14.200000,14.200000,14.200000,14.200000,10.221451,0
2019-01-23,14.250000,14.250000,14.250000,14.250000,10.257441,0
2019-01-24,14.240000,14.240000,14.240000,14.240000,10.250243,0
2019-01-25,14.370000,14.370000,14.370000,14.370000,10.343821,0
2019-01-28,14.280000,14.280000,14.280000,14.280000,10.279037,0
2019-01-29,14.260000,14.260000,14.260000,14.260000,10.264639,0
2019-01-30,14.440000,14.440000,14.440000,14.440000,10.394207,0
2019-01-31,14.550000,14.550000,14.550000,14.550000,10.473388,0
2019-02-01,14.590000,14.590000,14.590000,14.590000,10.502181,0
2019-02-04,14.680000,14.680000,14.680000,14.680000,10.566965,0
2019-02-05,14.760000,14.760000,14.760000,14.760000,10.624552,0
2019-02-06,14.730000,14.730000,14.730000,14.730000,10.602957,0
2019-02-07,14.580000,14.580000,14.580000,14.580000,10.494983,0
2019-02-08,14.560000,14.560000,14.560000,14.560000,10.480586,0
2019-02-11,14.570000,14.570000,14.570000,14.570000,10.487784,0
2019-02-12,14.750000,14.750000,14.750000,14.750000,10.617352,0
2019-02-13,14.820000,14.820000,14.820000,14.820000,10.667739,0
2019-02-14,14.780000,14.780000,14.780000,14.780000,10.638946,0
2019-02-15,14.970000,14.970000,14.970000,14.970000,10.775713,0
2019-02-19,15.000000,15.000000,15.000000,15.000000,10.797307,0
2019-02-20,15.010000,15.010000,15.010000,15.010000,10.804506,0
2019-02-21,14.940000,14.940000,14.940000,14.940000,10.754117,0
2019-02-22,15.020000,15.020000,15.020000,15.020000,10.811703,0
